boundary,x_c,y_c,nx,ny,A
right,0.1,0.020875,1.0,0.0,2.5e-06
right,0.1,0.021125,1.0,0.0,2.5e-06
right,0.1,0.021375,1.0,0.0,2.5e-06
right,0.1,0.021625000000000002,1.0,0.0,2.5e-06
right,0.1,0.021875000000000002,1.0,0.0,2.5e-06
right,0.1,0.022125,1.0,0.0,2.5e-06
right,0.1,0.022375,1.0,0.0,2.5e-06
right,0.1,0.022625,1.0,0.0,2.5e-06
right,0.1,0.022875,1.0,0.0,2.5e-06
right,0.1,0.023125,1.0,0.0,2.5e-06
right,0.1,0.023375,1.0,0.0,2.5e-06
right,0.1,0.023625,1.0,0.0,2.5e-06
right,0.1,0.023875,1.0,0.0,2.5e-06
right,0.1,0.024125,1.0,0.0,2.5e-06
right,0.1,0.024375,1.0,0.0,2.5e-06
right,0.1,0.024625,1.0,0.0,2.5e-06
right,0.1,0.024875,1.0,0.0,2.5e-06
right,0.1,0.025125,1.0,0.0,2.5e-06
right,0.1,0.025375,1.0,0.0,2.5e-06
right,0.1,0.025625000000000002,1.0,0.0,2.5e-06
right,0.1,0.025875000000000002,1.0,0.0,2.5e-06
right,0.1,0.026125,1.0,0.0,2.5e-06
right,0.1,0.026375,1.0,0.0,2.5e-06
right,0.1,0.026625,1.0,0.0,2.5e-06
right,0.1,0.026875,1.0,0.0,2.5e-06
right,0.1,0.027125,1.0,0.0,2.5e-06
right,0.1,0.027375,1.0,0.0,2.5e-06
right,0.1,0.027625,1.0,0.0,2.5e-06
right,0.1,0.027875,1.0,0.0,2.5e-06
right,0.1,0.028125,1.0,0.0,2.5e-06
right,0.1,0.028375,1.0,0.0,2.5e-06
right,0.1,0.028625,1.0,0.0,2.5e-06
right,0.1,0.028875,1.0,0.0,2.5e-06
right,0.1,0.029125,1.0,0.0,2.5e-06
right,0.1,0.029375000000000002,1.0,0.0,2.5e-06
right,0.1,0.029625000000000002,1.0,0.0,2.5e-06
right,0.1,0.029875000000000002,1.0,0.0,2.5e-06
right,0.1,0.030125,1.0,0.0,2.5e-06
right,0.1,0.030375,1.0,0.0,2.5e-06
right,0.1,0.030625,1.0,0.0,2.5e-06
right,0.1,0.030875,1.0,0.0,2.5e-06
